iter	Passed	Remaining
0	18	18639
1	35	17676
2	52	17397
3	70	17524
4	85	17040
5	99	16497
6	114	16222
7	133	16512
8	148	16404
9	164	16299
10	177	15994
11	192	15825
12	205	15609
13	218	15403
14	231	15211
15	244	15035
16	257	14869
17	269	14677
18	281	14534
19	294	14419
20	306	14292
21	319	14224
22	333	14148
23	345	14036
24	356	13916
25	369	13832
26	381	13737
27	394	13678
28	406	13600
29	418	13536
30	431	13483
31	445	13469
32	459	13461
33	471	13409
34	485	13389
35	499	13371
36	511	13308
37	523	13264
38	538	13270
39	551	13225
40	564	13199
41	578	13185
42	590	13151
43	603	13119
44	617	13098
45	630	13074
46	643	13051
47	656	13025
48	669	12995
49	682	12965
50	694	12915
51	706	12878
52	719	12850
53	731	12817
54	744	12790
55	756	12753
56	769	12732
57	783	12722
58	796	12697
59	808	12673
60	824	12690
61	840	12715
62	854	12710
63	868	12704
64	883	12715
65	897	12694
66	910	12672
67	924	12666
68	941	12701
69	958	12731
70	972	12722
71	983	12681
72	996	12656
73	1010	12639
74	1023	12620
75	1035	12593
76	1049	12575
77	1061	12552
78	1074	12529
79	1086	12499
80	1099	12469
81	1111	12440
82	1123	12411
83	1136	12392
84	1148	12363
85	1160	12338
86	1173	12313
87	1185	12287
88	1198	12266
89	1211	12250
90	1224	12230
91	1236	12205
92	1248	12180
93	1261	12158
94	1273	12136
95	1286	12111
96	1299	12097
97	1312	12083
98	1325	12064
99	1337	12041
100	1350	12023
101	1363	12000
102	1375	11980
103	1388	11962
104	1401	11944
105	1413	11924
106	1426	11906
107	1438	11881
108	1450	11856
109	1462	11832
110	1475	11817
111	1488	11798
112	1501	11787
113	1515	11775
114	1524	11734
115	1538	11721
116	1551	11706
117	1564	11691
118	1576	11674
119	1590	11664
120	1606	11668
121	1618	11648
122	1631	11635
123	1646	11633
124	1662	11638
125	1679	11652
126	1698	11672
127	1714	11683
128	1731	11688
129	1746	11686
130	1761	11682
131	1774	11669
132	1786	11644
133	1798	11624
134	1811	11604
135	1824	11590
136	1835	11564
137	1849	11551
138	1860	11524
139	1875	11520
140	1888	11503
141	1901	11486
142	1914	11471
143	1926	11454
144	1940	11439
145	1953	11423
146	1965	11406
147	1977	11382
148	1988	11358
149	1999	11333
150	2010	11304
151	2021	11280
152	2035	11267
153	2046	11241
